food_id,Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),source
IND-0509,Spaghetti bolognese,97.43,10.04,9.35,9.51,1.41,1.08,5358.6,73.66,2.06,27.89,37.77,Indian Food Nutrition dataset provided by user
IND-0510,Meat and macaroni casserole,161.55,16.12,9.15,10.17,1.0,1.19,2511.99,68.28,1.85,29.03,47.45,Indian Food Nutrition dataset provided by user
IND-0511,Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.87,1.11,189.13,40.82,0.71,44.09,63.03,Indian Food Nutrition dataset provided by user
IND-0512,Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,3.03,1.25,199.55,80.73,0.55,44.09,98.36,Indian Food Nutrition dataset provided by user
IND-0513,Lasagne with meat sauce,63.38,5.38,2.9,3.43,1.04,0.47,37.08,24.61,0.49,80.17,112.65,Indian Food Nutrition dataset provided by user
IND-0514,Lasagne with vegetables,49.23,5.9,1.71,2.16,1.37,0.66,40.78,32.89,0.57,179.9,286.76,Indian Food Nutrition dataset provided by user
IND-0515,Home made egg noodles,240.84,42.92,6.55,4.37,1.03,1.6,177.24,15.96,1.15,0.0,30.08,Indian Food Nutrition dataset provided by user
IND-0516,Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,1.25,1.22,115.6,8.29,0.85,1.88,22.49,Indian Food Nutrition dataset provided by user
IND-0517,Urad special dehusked,69.43,8.86,3.14,2.17,1.32,2.5,109.56,16.4,0.83,17.4,54.46,Indian Food Nutrition dataset provided by user
IND-0518,Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,0.23,1.3,109.97,21.81,0.89,18.79,105.9,Indian Food Nutrition dataset provided by user
IND-0519,Moong dal with vadi,24.08,1.0,0.4,2.05,0.45,0.39,112.36,2.99,0.18,10.19,11.52,Indian Food Nutrition dataset provided by user
IND-0520,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,0.83,1.6,104.11,16.56,0.59,17.27,28.68,Indian Food Nutrition dataset provided by user
IND-0521,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,0.44,1.54,102.77,15.56,0.52,19.71,28.91,Indian Food Nutrition dataset provided by user
IND-0522,Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.8,3.23,2.48,0.15,3.02,181.69,25.04,1.0,0.48,45.28,Indian Food Nutrition dataset provided by user
IND-0523,Urad sabut special,79.39,5.03,2.33,5.46,0.86,2.15,60.09,21.45,0.71,28.45,80.51,Indian Food Nutrition dataset provided by user
IND-0524,Kabuli channa curry,68.57,7.63,2.92,3.06,1.24,1.12,122.05,32.03,0.95,16.22,93.09,Indian Food Nutrition dataset provided by user
IND-0525,Besan gatte curry,189.38,16.26,7.75,10.72,4.5,3.25,356.27,151.08,1.89,13.39,135.02,Indian Food Nutrition dataset provided by user
IND-0526,Dry masala chops,135.07,3.3,9.08,9.54,2.27,0.86,83.47,112.25,1.39,1.87,15.19,Indian Food Nutrition dataset provided by user
IND-0527,Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78,56.94,79.07,1.09,5.54,31.82,Indian Food Nutrition dataset provided by user
IND-0528,Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.78,0.91,104.53,14.51,0.67,20.97,34.57,Indian Food Nutrition dataset provided by user
IND-0529,Minced meat ball curry,109.79,2.86,6.82,7.85,1.27,1.49,170.06,23.84,1.01,20.62,33.86,Indian Food Nutrition dataset provided by user
IND-0530,Boti kebab,132.86,3.06,9.22,9.27,2.09,0.76,78.14,98.67,1.41,4.52,6.58,Indian Food Nutrition dataset provided by user
IND-0531,Mutton seekh kebab,133.94,3.11,11.25,8.43,1.4,1.88,102.17,117.44,2.19,3.97,5.3,Indian Food Nutrition dataset provided by user
IND-0532,Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.7,0.75,0.6,57.44,12.91,0.55,7.67,44.36,Indian Food Nutrition dataset provided by user
IND-0533,Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,1.1,0.86,2257.67,13.89,0.7,37.78,40.59,Indian Food Nutrition dataset provided by user
IND-0534,Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.5,4.66,2.57,148.98,89.7,1.18,11.59,49.69,Indian Food Nutrition dataset provided by user
IND-0535,Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,61.63,21.42,0.81,39.15,54.07,Indian Food Nutrition dataset provided by user
IND-0536,Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,1.64,2.86,70.97,20.32,0.99,39.15,52.1,Indian Food Nutrition dataset provided by user
IND-0537,Vegetable yakhni,406.06,1.94,1.18,43.8,1.44,0.61,38.05,43.67,0.24,5.43,60.84,Indian Food Nutrition dataset provided by user
IND-0538,Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,1.0,2.27,70.97,49.75,1.69,60.21,232.9,Indian Food Nutrition dataset provided by user
IND-0539,Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,1.65,0.86,73.56,47.09,0.38,27.25,57.94,Indian Food Nutrition dataset provided by user
IND-0540,Roast chicken,199.9,0.1,20.49,13.06,0.05,0.03,71.71,13.61,0.79,0.3,13.16,Indian Food Nutrition dataset provided by user
IND-0541,Shahi chicken masala,163.7,4.07,9.82,12.02,2.86,0.96,142.56,82.68,0.89,9.92,65.41,Indian Food Nutrition dataset provided by user
IND-0542,Tomato chicken,111.68,2.13,10.57,6.71,0.93,1.42,104.83,21.24,0.87,24.53,24.19,Indian Food Nutrition dataset provided by user
IND-0543,Creamy chicken,152.87,3.13,13.52,9.57,2.11,0.69,97.08,50.37,0.82,7.46,32.64,Indian Food Nutrition dataset provided by user
IND-0544,Broccoli chicken ala king,119.56,5.34,7.97,7.57,2.49,1.92,104.01,73.36,0.78,79.81,105.46,Indian Food Nutrition dataset provided by user
IND-0545,Ginger chicken,129.17,5.6,8.24,8.24,1.95,1.21,365.86,18.41,0.96,49.96,64.3,Indian Food Nutrition dataset provided by user
IND-0546,Chicken sweet and sour,445.09,2.67,6.92,47.59,0.89,0.58,1809.94,21.98,0.93,37.78,50.11,Indian Food Nutrition dataset provided by user
IND-0547,Chicken korma,147.96,5.43,9.83,9.67,3.32,1.82,119.21,68.66,1.06,10.02,58.86,Indian Food Nutrition dataset provided by user
IND-0548,Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,2.39,1.93,76.38,44.44,0.85,9.39,46.45,Indian Food Nutrition dataset provided by user
IND-0549,Fish finger,542.9,4.47,5.66,55.82,0.17,0.34,103.55,11.38,0.38,14.13,34.81,Indian Food Nutrition dataset provided by user
IND-0550,Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.55,1.52,73.93,21.94,0.91,10.71,38.0,Indian Food Nutrition dataset provided by user
IND-0551,Prawn curry (with coconut) (Jhinga curry),109.55,3.1,8.54,6.93,2.03,1.56,375.86,37.25,0.96,3.72,43.62,Indian Food Nutrition dataset provided by user
IND-0552,Baked stuffed fish,121.96,2.12,16.14,5.43,0.35,0.38,74.36,18.8,0.35,13.01,67.06,Indian Food Nutrition dataset provided by user
IND-0553,Fish pie,120.9,7.74,9.25,5.77,1.13,0.76,101.8,36.15,0.46,27.02,37.04,Indian Food Nutrition dataset provided by user
IND-0554,Crispy baked fish,138.4,9.59,10.95,6.41,1.53,1.21,192.42,60.04,0.55,16.97,46.78,Indian Food Nutrition dataset provided by user
IND-0555,Fish souffle,139.71,5.14,10.51,8.55,2.09,0.19,92.45,63.87,0.59,2.41,45.24,Indian Food Nutrition dataset provided by user
IND-0556,Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,78.4,23.74,0.97,42.18,35.58,Indian Food Nutrition dataset provided by user
IND-0557,Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09,142.12,41.59,1.52,19.03,44.73,Indian Food Nutrition dataset provided by user
IND-0558,Vegetable curry with coconut,83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67,Indian Food Nutrition dataset provided by user
IND-0559,Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.82,1.19,51.99,36.36,0.47,42.93,44.72,Indian Food Nutrition dataset provided by user
IND-0560,Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.63,0.56,30.12,7.77,0.26,46.64,48.57,Indian Food Nutrition dataset provided by user
IND-0561,Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,42.22,8.35,0.31,36.07,43.47,Indian Food Nutrition dataset provided by user
IND-0562,Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,2.4,0.96,40.04,11.36,0.24,27.49,63.24,Indian Food Nutrition dataset provided by user
IND-0563,Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,62.46,43.67,1.59,78.73,242.0,Indian Food Nutrition dataset provided by user
IND-0564,Mooli bhujia,91.2,4.74,1.69,7.25,1.07,2.36,89.73,131.88,2.37,80.77,75.87,Indian Food Nutrition dataset provided by user
IND-0565,Bathua bhujia,90.9,3.63,2.26,7.29,1.08,3.8,81.99,165.84,2.36,66.6,71.68,Indian Food Nutrition dataset provided by user
IND-0566,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,118.05,31.54,0.98,12.69,19.01,Indian Food Nutrition dataset provided by user
IND-0567,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,123.98,29.82,0.95,26.91,34.04,Indian Food Nutrition dataset provided by user
IND-0568,Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,81.25,22.77,0.68,8.11,32.76,Indian Food Nutrition dataset provided by user
IND-0569,Masala arbi,185.38,16.16,3.01,11.9,0.81,3.1,261.31,32.08,0.99,1.9,20.12,Indian Food Nutrition dataset provided by user
IND-0570,Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,63.65,19.63,0.63,27.86,82.49,Indian Food Nutrition dataset provided by user
IND-0571,Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,1.42,3.57,92.78,67.88,0.88,29.07,85.27,Indian Food Nutrition dataset provided by user
IND-0572,Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,0.26,1.75,40.42,27.61,0.56,18.14,90.04,Indian Food Nutrition dataset provided by user
IND-0573,Beans foogath,105.06,3.26,2.03,9.22,1.7,4.15,81.22,44.2,0.95,6.36,86.05,Indian Food Nutrition dataset provided by user
IND-0574,Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,360.09,17.25,0.91,46.93,63.07,Indian Food Nutrition dataset provided by user
IND-0575,Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,33.68,12.79,0.33,21.72,55.34,Indian Food Nutrition dataset provided by user
IND-0576,Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.8,1.44,37.07,8.11,0.43,30.3,35.57,Indian Food Nutrition dataset provided by user
IND-0577,"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,86.29,21.05,0.98,53.51,60.04,Indian Food Nutrition dataset provided by user
IND-0578,Vegetable jalfrezi,68.48,5.43,1.4,4.38,1.79,2.97,79.46,27.11,0.68,26.08,28.48,Indian Food Nutrition dataset provided by user
IND-0579,Vegetables stir fry,30.78,3.19,1.04,1.47,0.86,1.37,55.0,13.3,0.34,38.17,61.93,Indian Food Nutrition dataset provided by user
IND-0580,Broccoli delight,40.7,2.34,2.49,2.48,1.08,2.83,59.26,26.99,0.71,79.0,97.64,Indian Food Nutrition dataset provided by user
IND-0581,Dhansak (vegetarian),82.8,7.28,3.32,4.18,0.91,4.17,34.18,26.4,1.26,13.25,45.12,Indian Food Nutrition dataset provided by user
IND-0582,Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.4,194.22,100.19,0.92,71.55,88.46,Indian Food Nutrition dataset provided by user
IND-0583,Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.52,1.18,106.99,71.83,0.66,9.01,92.91,Indian Food Nutrition dataset provided by user
IND-0584,Ducheese potato,140.54,10.94,3.6,9.01,0.29,1.29,103.85,18.1,0.76,7.23,8.71,Indian Food Nutrition dataset provided by user
IND-0585,Roast potatoes,87.32,14.52,1.53,2.35,0.33,1.71,90.67,10.38,0.57,17.36,11.66,Indian Food Nutrition dataset provided by user
IND-0586,Stuffed baked potatoes,100.2,11.03,3.82,4.39,0.4,1.31,92.09,25.72,0.81,18.77,23.25,Indian Food Nutrition dataset provided by user
IND-0587,Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,182.12,55.25,0.87,37.47,49.55,Indian Food Nutrition dataset provided by user
IND-0588,Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,4.62,11.43,0.55,23.82,16.5,Indian Food Nutrition dataset provided by user
IND-0589,Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,90.21,65.49,0.9,48.37,234.02,Indian Food Nutrition dataset provided by user
IND-0590,Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,118.98,84.97,0.36,39.68,37.46,Indian Food Nutrition dataset provided by user
IND-0591,Cauliflower au gratin,145.9,9.13,4.45,10.2,3.01,1.44,164.96,119.69,0.57,50.15,69.55,Indian Food Nutrition dataset provided by user
IND-0592,Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,117.99,99.48,0.58,55.0,104.25,Indian Food Nutrition dataset provided by user
IND-0593,Spinach souffle,150.18,6.27,7.36,10.52,0.89,1.44,244.07,133.69,2.15,30.28,172.47,Indian Food Nutrition dataset provided by user
IND-0594,Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,1.97,0.55,110.12,18.13,0.55,6.0,41.14,Indian Food Nutrition dataset provided by user
IND-0595,Sour cream potato salad,121.9,9.05,2.89,8.13,0.84,1.21,102.66,23.25,0.9,37.28,52.99,Indian Food Nutrition dataset provided by user
IND-0596,Tossed green salad,49.88,3.82,1.33,3.24,1.9,1.33,65.09,33.71,1.27,58.24,75.97,Indian Food Nutrition dataset provided by user
IND-0597,Spring basket salad,160.46,11.61,3.36,11.3,1.46,3.09,26.02,45.65,0.85,70.79,109.53,Indian Food Nutrition dataset provided by user
IND-0598,Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,141.73,68.49,0.52,6.74,21.36,Indian Food Nutrition dataset provided by user
IND-0599,Chicken and tomato towers,100.55,2.36,6.9,6.99,1.21,1.14,76.02,17.54,0.77,56.69,49.49,Indian Food Nutrition dataset provided by user
IND-0600,Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.8,74.2,37.14,0.87,28.75,37.7,Indian Food Nutrition dataset provided by user
IND-0601,Tomato aspic,50.37,5.02,6.87,0.26,3.21,1.58,98.17,44.28,1.18,35.87,39.01,Indian Food Nutrition dataset provided by user
IND-0602,Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,14.38,0.26,13.23,28.61,0.41,33.45,20.91,Indian Food Nutrition dataset provided by user
IND-0603,French dressing,733.77,3.68,0.32,79.65,3.01,0.22,261.13,6.98,0.48,6.42,1.95,Indian Food Nutrition dataset provided by user
IND-0604,Mayonnaise without eggs,329.05,3.98,2.13,33.84,3.68,0.04,193.58,75.54,0.27,12.05,18.85,Indian Food Nutrition dataset provided by user
IND-0605,Curd dressing,78.8,8.03,5.59,2.9,7.57,0.22,204.62,194.59,0.18,5.34,39.4,Indian Food Nutrition dataset provided by user
IND-0606,Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,5.99,1.69,274.46,146.72,0.55,7.76,32.0,Indian Food Nutrition dataset provided by user
IND-0607,Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,5.48,1.04,129.14,130.11,0.33,7.11,31.7,Indian Food Nutrition dataset provided by user
IND-0608,Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,6.17,1.79,223.01,191.01,1.68,6.06,44.25,Indian Food Nutrition dataset provided by user
IND-0609,Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,3.97,1.39,126.57,142.96,1.61,32.9,160.65,Indian Food Nutrition dataset provided by user
IND-0610,Bathua raita,54.4,5.31,4.13,1.76,4.11,2.19,110.92,206.31,1.46,43.65,61.2,Indian Food Nutrition dataset provided by user
IND-0611,Pineapple raita (Ananas ka raita),67.74,8.62,3.9,2.02,8.12,1.39,135.48,134.53,0.27,19.89,27.72,Indian Food Nutrition dataset provided by user
IND-0612,Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,10.11,1.0,135.43,133.23,0.31,5.73,27.58,Indian Food Nutrition dataset provided by user
IND-0613,Mango raita (Aam ka raita),67.37,8.23,3.9,2.14,7.87,0.89,135.46,136.06,0.34,18.19,59.64,Indian Food Nutrition dataset provided by user
IND-0614,Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,6.71,3.0,135.94,136.93,0.28,108.7,33.5,Indian Food Nutrition dataset provided by user
IND-0615,Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,8.51,0.71,135.64,134.52,0.26,10.55,22.88,Indian Food Nutrition dataset provided by user
IND-0616,Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.0,2.7,3.86,9.63,0.55,19.62,94.18,0.23,6.2,35.87,Indian Food Nutrition dataset provided by user
IND-0617,Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,10.12,0.63,20.99,95.61,0.24,8.06,26.95,Indian Food Nutrition dataset provided by user
IND-0618,Apple kheer (Seb ki kheer),81.3,11.34,2.14,3.18,10.71,0.51,15.86,75.67,0.18,5.82,16.4,Indian Food Nutrition dataset provided by user
IND-0619,Caramel custard (baked),122.7,14.95,5.11,5.01,14.92,0.0,44.78,90.59,0.53,3.02,35.21,Indian Food Nutrition dataset provided by user
IND-0620,Vanilla ice cream without egg,228.67,14.21,2.69,18.15,13.45,0.0,23.97,81.27,0.1,2.13,9.67,Indian Food Nutrition dataset provided by user
IND-0621,Vanilla ice cream with egg,214.85,11.71,4.16,17.02,11.69,0.0,37.72,77.42,0.34,2.13,21.98,Indian Food Nutrition dataset provided by user
IND-0622,Strawberry ice cream,215.61,12.26,4.15,16.96,11.6,0.0,37.62,77.08,0.34,2.13,22.0,Indian Food Nutrition dataset provided by user
IND-0623,Chocochip ice cream,241.45,16.75,4.23,17.93,16.08,0.0,34.84,73.22,0.51,2.13,24.1,Indian Food Nutrition dataset provided by user
IND-0624,Choconut ice cream,273.96,23.13,5.04,18.49,21.02,0.51,29.83,67.38,0.89,2.17,29.32,Indian Food Nutrition dataset provided by user
IND-0625,Pear chocholate sunday,183.49,15.02,2.08,13.11,14.41,0.07,16.26,56.67,0.24,3.34,12.72,Indian Food Nutrition dataset provided by user
IND-0626,Chocolate sauce,263.2,43.21,1.91,10.39,42.06,0.0,2.8,18.8,1.13,0.0,0.63,Indian Food Nutrition dataset provided by user
IND-0627,Coffee ice cream,150.62,14.09,3.15,9.43,13.35,0.0,42.09,95.72,0.15,2.16,7.18,Indian Food Nutrition dataset provided by user
IND-0628,Coffee pear alaska,203.99,19.36,2.88,13.22,16.88,0.15,51.11,60.61,0.22,3.48,13.85,Indian Food Nutrition dataset provided by user
IND-0629,Crunchy butterscotch,277.32,19.92,3.11,20.99,17.73,0.47,22.24,72.26,0.26,2.13,18.72,Indian Food Nutrition dataset provided by user
IND-0630,Peach melba ice cream,200.85,16.31,2.06,14.51,13.35,0.06,17.92,60.55,0.11,2.99,11.79,Indian Food Nutrition dataset provided by user
IND-0631,Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,14.19,0.26,31.54,56.34,0.16,4.23,10.77,Indian Food Nutrition dataset provided by user
IND-0632,Grape and orange whip,57.39,6.72,1.41,2.62,5.66,0.97,14.36,17.4,0.53,34.86,16.85,Indian Food Nutrition dataset provided by user
IND-0633,Honey banana cream,125.49,13.64,2.78,6.68,10.51,0.7,15.65,43.52,0.23,16.68,28.45,Indian Food Nutrition dataset provided by user
IND-0634,Raspberry bavarian cream,150.1,17.82,3.34,7.88,15.3,2.19,24.59,26.4,0.31,21.41,20.79,Indian Food Nutrition dataset provided by user
IND-0635,Fruit delight,107.09,9.11,2.09,7.09,9.03,0.09,17.27,71.69,0.15,7.74,19.39,Indian Food Nutrition dataset provided by user
IND-0636,Creamy chocolate mousse,230.52,9.53,6.85,18.16,8.99,0.0,48.64,45.25,0.96,0.75,33.07,Indian Food Nutrition dataset provided by user
IND-0637,Cold lemon souffle,169.87,15.62,5.89,9.78,13.88,0.0,46.35,55.03,0.53,8.65,31.24,Indian Food Nutrition dataset provided by user
IND-0638,Cold orange souffle,173.19,16.27,5.94,9.82,14.42,0.11,46.53,55.45,0.57,10.08,33.8,Indian Food Nutrition dataset provided by user
IND-0639,Cold pineapple souffle,181.22,16.85,6.23,10.39,14.99,0.0,49.38,57.13,0.54,1.88,30.3,Indian Food Nutrition dataset provided by user
IND-0640,Cold vanilla souffle,179.54,16.29,6.22,10.32,14.49,0.0,49.09,62.47,0.52,1.3,30.71,Indian Food Nutrition dataset provided by user
IND-0641,Cold chocolate souffle,187.53,17.22,6.37,10.86,15.31,0.0,47.77,62.91,0.68,1.3,32.45,Indian Food Nutrition dataset provided by user
IND-0642,Stewed fruit (with pear),74.32,18.22,0.25,0.32,17.67,2.84,1.7,5.94,0.21,2.48,4.33,Indian Food Nutrition dataset provided by user
IND-0643,Apricot fool,240.79,33.64,1.54,11.35,21.29,1.0,8.28,26.37,0.73,1.47,11.46,Indian Food Nutrition dataset provided by user
IND-0644,Pavlova,200.6,21.84,1.84,12.29,20.37,0.06,26.34,23.0,0.25,23.78,19.18,Indian Food Nutrition dataset provided by user
IND-0645,Apple crumb pudding,220.85,35.17,1.54,8.87,27.69,1.33,59.36,38.49,1.05,3.6,7.86,Indian Food Nutrition dataset provided by user
IND-0646,Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,19.72,0.29,100.32,67.76,0.85,1.81,25.81,Indian Food Nutrition dataset provided by user
IND-0647,Hot lemon souffle,155.25,16.31,5.29,7.93,12.07,0.14,47.75,48.77,0.55,12.93,20.7,Indian Food Nutrition dataset provided by user
IND-0648,Gulab jamun with milk powder,471.15,28.24,0.85,40.15,27.04,0.05,67.28,26.13,0.13,0.41,4.56,Indian Food Nutrition dataset provided by user
IND-0649,Chum chum,130.05,28.27,1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2,Indian Food Nutrition dataset provided by user
IND-0650,Dil bahar,130.05,28.27,1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2,Indian Food Nutrition dataset provided by user
IND-0651,Rasbhari,130.05,28.27,1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2,Indian Food Nutrition dataset provided by user
IND-0652,Rajbogh,133.7,28.16,1.71,2.28,27.66,0.11,16.57,63.23,0.17,2.69,12.02,Indian Food Nutrition dataset provided by user
IND-0653,Rasgulla,118.64,25.79,1.38,1.75,25.4,0.01,15.19,57.09,0.12,2.69,10.2,Indian Food Nutrition dataset provided by user
IND-0654,Rasmalai,135.55,29.17,1.61,2.11,28.71,0.07,16.46,62.31,0.15,2.69,11.29,Indian Food Nutrition dataset provided by user
IND-0655,Khoa coconut burfi,411.45,36.55,9.98,26.01,35.6,4.07,31.14,309.84,2.1,0.0,26.6,Indian Food Nutrition dataset provided by user
IND-0656,Danedar burfi,102.68,12.33,3.24,4.72,11.98,0.09,23.31,107.53,0.24,3.36,9.75,Indian Food Nutrition dataset provided by user
IND-0657,Semolina burfi (Suji/Rava burfi),348.67,47.1,3.47,16.86,28.67,2.8,8.33,14.86,1.01,0.0,3.21,Indian Food Nutrition dataset provided by user
IND-0658,Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,16.11,4.29,8.95,21.76,0.79,3.02,11.48,Indian Food Nutrition dataset provided by user
IND-0659,Khoa ladoo,396.02,34.43,12.21,24.09,33.37,3.08,31.71,358.61,2.25,0.02,27.31,Indian Food Nutrition dataset provided by user
IND-0660,Wheat and gram flour ladoo (Atta besan ladoo),501.7,50.5,9.38,29.86,18.46,6.01,27.06,35.27,2.39,0.0,14.55,Indian Food Nutrition dataset provided by user
IND-0661,Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,19.79,4.27,3.93,18.04,1.81,0.03,4.01,Indian Food Nutrition dataset provided by user
IND-0662,Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.5,4.66,36.48,5.54,17.93,150.73,4.8,0.0,23.64,Indian Food Nutrition dataset provided by user
IND-0663,Murmura chikki,253.82,59.59,2.12,0.32,48.27,0.37,15.03,63.3,3.3,0.0,2.16,Indian Food Nutrition dataset provided by user
IND-0664,Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,1.58,1.44,99.22,11.06,0.42,1.18,14.65,Indian Food Nutrition dataset provided by user
IND-0665,Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,0.27,1.34,120.9,8.58,0.47,3.84,12.67,Indian Food Nutrition dataset provided by user
IND-0666,Chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.22,0.96,103.23,9.08,0.51,0.14,11.46,Indian Food Nutrition dataset provided by user
IND-0667,Fish pakora/pakoda,577.03,4.55,5.97,59.52,0.22,0.96,112.24,12.65,0.63,0.14,11.02,Indian Food Nutrition dataset provided by user
IND-0668,Paneer cutlet,672.2,7.62,4.59,69.38,2.52,0.39,91.45,107.86,0.48,1.81,38.34,Indian Food Nutrition dataset provided by user
IND-0669,Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97,0.1,0.54,48.17,5.43,0.38,13.39,9.09,Indian Food Nutrition dataset provided by user
IND-0670,Poshtik cutlet,496.45,7.39,2.0,50.94,0.32,1.35,57.11,14.94,0.69,16.42,43.66,Indian Food Nutrition dataset provided by user
IND-0671,Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25,0.2,0.58,79.4,16.22,0.56,11.07,22.05,Indian Food Nutrition dataset provided by user
IND-0672,Minced meat cutlet,531.86,5.61,5.1,54.47,0.31,0.4,95.81,20.82,0.63,1.81,8.86,Indian Food Nutrition dataset provided by user
IND-0673,Vegetable samosa,443.11,13.22,2.21,42.22,0.74,1.52,107.7,10.37,0.6,10.06,12.39,Indian Food Nutrition dataset provided by user
IND-0674,Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,9.7,4.39,76.32,0.16,2.27,65.87,10.6,0.96,0.0,13.31,Indian Food Nutrition dataset provided by user
IND-0675,Masala urad dal vada,703.78,9.93,4.32,71.62,0.7,2.71,61.49,11.87,1.0,2.05,15.89,Indian Food Nutrition dataset provided by user
IND-0676,Khaman (dhokla),54.73,5.36,1.92,2.8,1.36,1.49,124.1,5.31,0.58,2.6,19.33,Indian Food Nutrition dataset provided by user
IND-0677,Instant dhokla,207.11,24.11,7.66,9.37,6.86,3.57,763.98,66.58,1.05,2.7,22.87,Indian Food Nutrition dataset provided by user
